Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
94,4/14/2020 10:11,640131175.6,6130.64,-69.17,157.03,690320,77.826,414.11,-99.99,415.34,-99.99,416.57,-99.99,208.88,-9.99,209.5,-9.99,210.12,-9.99,1.43594E+23,9.9,105.912,1.878
95,4/14/2020 10:11,640131175.6,6130.574,-69.17,157.03,689750,77.762,420.07,-99.99,421.3,-99.99,422.53,-99.99,208.6,-9.99,209.21,-9.99,209.82,-9.99,1.45853E+23,9.9,105.909,1.878
96,4/14/2020 10:11,640131175.7,6130.43,-69.18,157.03,688505,77.621,433.36,-99.99,434.59,-99.99,435.82,-99.99,208.7,-9.99,209.29,-9.99,209.89,-9.99,1.50398E+23,9.9,105.906,1.878
97,4/14/2020 10:11,640131175.8,6130.324,-69.18,157.02,687589,77.518,443.42,-99.99,444.65,-99.99,445.88,-99.99,208.81,-9.99,209.38,-9.99,209.96,-9.99,1.53811E+23,9.9,105.904,1.878
98,4/14/2020 10:11,640131175.8,6130.203,-69.18,157.02,686543,77.4,455.17,-99.99,456.4,-99.99,457.63,-99.99,209.03,-9.99,209.59,-9.99,210.16,-9.99,1.57717E+23,9.9,105.901,1.878
99,4/14/2020 10:11,640131175.9,6130.099,-69.19,157.02,685644,77.299,465.51,-99.99,466.74,-99.99,467.97,-99.99,209.12,-9.99,209.67,-9.99,210.23,-9.99,1.61231E+23,9.9,105.898,1.878
100,4/14/2020 10:11,640131176,6130.006,-69.19,157.02,684840,77.208,474.96,-99.99,476.19,-99.99,477.42,-99.99,209.04,-9.99,209.58,-9.99,210.13,-9.99,1.64564E+23,9.9,105.895,1.879
101,4/14/2020 10:11,640131176,6129.88,-69.19,157.01,683750,77.085,488.06,-99.99,489.29,-99.99,490.52,-99.99,209.24,-9.99,209.76,-9.99,210.29,-9.99,1.68947E+23,9.9,105.893,1.879
102,4/14/2020 10:11,640131176.1,6129.78,-69.19,157.01,682886,76.988,498.71,-99.99,499.94,-99.99,501.17,-99.99,209.51,-9.99,210.02,-9.99,210.54,-9.99,1.7241E+23,9.9,105.89,1.879
103,4/14/2020 10:11,640131176.1,6129.679,-69.19,157.01,682013,76.89,509.67,-99.99,510.9,-99.99,512.13,-99.99,210.02,-9.99,210.52,-9.99,211.03,-9.99,1.75773E+23,9.9,105.889,1.879
